"CountryID","Richness","WithDistData","WithoutDistData","PropWithDistData","PropWithoutDistData","RateofDescription","ComparativeUndersampling","AverageModelDifference","StandardDeviationModelDifference","AverageSamplingCoverage","StandardDeviationSamplingCoverage","CountryName"
"ALB",335,98,237,0.292537313432836,0.707462686567164,0.00907276356378153,54.0290333804404,28.0774693252733,14.804619301074,0.691534758955202,0.233093499323036,"Albania"
"AND",108,54,54,0.5,0.5,0,16.404917298208,108.390564005215,5.70126769091233,0.842968508137838,0.0468368853344511,"Andorra"
"AUT",715,599,116,0.837762237762238,0.162237762237762,0.0384188538177692,10.3701938445008,134.612258558715,77.3500045585155,0.899669150979712,0.0684668848376636,"Austria"
"PT20",18,8,10,0.444444444444444,0.555555555555556,0.17825311942959,100,5.38990028998027,5.9122286356206,0.912645437099144,0.186606261898188,"Azores"
"BEL",391,364,27,0.930946291560102,0.0690537084398977,0.015559989853049,8.14149077033723,145.825827133056,46.4840699401103,0.991044207081831,0.0142646521881954,"Belgium"
"BGR",831,353,478,0.424789410348977,0.575210589651023,0.0776363235819766,56.9466417208813,25.2852204437503,21.5880095779457,0.661819444488065,0.225258213968936,"Bulgaria"
"IC",135,68,67,0.503703703703704,0.496296296296296,0.500661819966251,43.1954664243903,41.4261379433556,33.0701706922,0.69793800705821,0.218670141983931,"Canary Islands"
"EL43",342,189,153,0.552631578947368,0.447368421052632,0.192918369388841,25.0531808784513,79.4599233707545,49.8314487477438,0.744138493986142,0.171491070999338,"Crete"
"HRV",666,355,311,0.533033033033033,0.466966966966967,0.0274512989578088,37.1809939373539,51.4105002415084,46.6524540655589,0.693702144772758,0.227789505573727,"Croatia"
"CYP",367,137,230,0.373297002724796,0.626702997275204,0.101039934440908,39.8471927125631,46.7176059416322,17.998679054345,0.565998326969838,0.264209497159991,"Cyprus"
"CZE",549,454,95,0.82695810564663,0.17304189435337,0.0166196148928771,11.1189778346338,131.041726069612,71.9942213638217,0.82862202548236,0.0996826586286083,"Czech Republic"
"DNK",274,119,155,0.434306569343066,0.565693430656934,0,20.855423255559,92.3845587193655,42.4210007949461,0.766060737473966,0.263314503168475,"Denmark"
"EAI",515,286,229,0.555339805825243,0.444660194174757,0.214582573971706,29.8801003334206,66.8170092025858,87.3788805803208,0.684610512427855,0.235562435095695,"East Aegean Islands"
"EST",266,78,188,0.293233082706767,0.706766917293233,0,47.1234120688874,35.9774266406222,26.5837017627382,0.749687566304386,0.232746074093602,"Estonia"
"FRO ",7,3,4,0.428571428571429,0.571428571428571,0,49.5841361983179,32.9353738195581,16.6706260809463,0.961794539961534,0.0378773792492944,"Faroe Islands"
"FIN",222,216,6,0.972972972972973,0.027027027027027,0.0137117784176608,23.6932888987395,83.4356235729483,61.4467516408226,0.88028911449889,0.140139106021648,"Finland"
"FRA",950,854,96,0.898947368421053,0.101052631578947,0.0482712542950156,24.4574573332462,81.1776802076854,58.6606383370204,0.753517074530856,0.158489147368703,"France"
"DEU",571,517,54,0.905429071803853,0.0945709281961471,0.0320387362925421,17.1552493990323,105.509686342948,49.949537801129,0.862039578719722,0.0864137599696218,"Germany"
"GRC",1105,627,478,0.567420814479638,0.432579185520362,0.169510079059269,34.6476688958515,56.3055647806551,45.8901763396465,0.595581787472277,0.277825942632823,"Greece"
"HUN",701,336,365,0.479315263908702,0.520684736091298,0.0217071308736055,19.4605661835203,97.1287807346868,42.1181177629975,0.841485637921675,0.112868822812487,"Hungary"
"ISL",7,5,2,0.714285714285714,0.285714285714286,0,75.6727537908498,12.9089242585171,11.6930151539421,0.944262201494305,0.149730958321309,"Iceland"
"IRL",100,96,4,0.96,0.04,0.0306091215182124,26.1878476554998,76.28804206837,46.8187659149277,0.945202246244774,0.0642685531062415,"Ireland"
"IMN",63,58,5,0.920634920634921,0.0793650793650794,0,0,195.333262572488,16.3109328255775,0.802681034165528,0.045346651816266,"Isle of Man"
"ITA",956,687,269,0.718619246861925,0.281380753138075,0.0544165218053068,39.0179190064353,48.1294143598829,43.1312311737689,0.678039166243244,0.23912951527231,"Italy"
"LVA",290,90,200,0.310344827586207,0.689655172413793,0,32.3012934279105,61.2542038004604,41.1515619716144,0.799634247296885,0.199169373564035,"Latvia"
"LIE",234,207,27,0.884615384615385,0.115384615384615,0,0.914459760106766,189.024452485879,49.0280585888283,0.985399697291979,0.00590143838899942,"Liechtenstein"
"LTU",340,97,243,0.285294117647059,0.714705882352941,0,38.4873381553692,49.0550101389631,32.7779671220668,0.664848520506963,0.257622064375794,"Lithuania"
"LUX",349,297,52,0.851002865329513,0.148997134670487,0.00870776732845698,5.84448822510218,158.361354659796,22.250717590666,0.961095213353032,0.0242841564833433,"Luxembourg"
"PT30",18,10,8,0.555555555555556,0.444444444444444,0.367647058823529,74.9810358118797,13.2335172571727,8.42961993453089,0.812543034138709,0.090528707065175,"Madeira"
"MNE",200,78,122,0.39,0.61,0.0152276534186082,47.6012166919046,35.3655314095832,23.3980176264013,0.650661138351883,0.203310734083866,"Montenegro"
"NLD",333,298,35,0.894894894894895,0.105105105105105,0.0182824128152269,12.2336423942054,125.901181469389,50.5420230105589,0.956649278655616,0.0481596001049703,"Netherlands"
"UKN0",48,47,1,0.979166666666667,0.0208333333333333,0,30.6128572321716,65.0821542538938,32.4376506994279,0.93014434284561,0.101947598757692,"Northern Ireland"
"NOR",197,195,2,0.989847715736041,0.0101522842639594,0,31.3915006444173,63.2879964358396,44.3984309994446,0.839397155207732,0.192266475927392,"Norway"
"POL",475,312,163,0.656842105263158,0.343157894736842,0.00639304436772791,30.8869685921862,64.444815987552,41.3047237545129,0.733439135107229,0.21742912781627,"Poland"
