"ID","ComparativeUndersampling","WMDiff","SDDiff","WMCov","SDCov","NAME"
"AL01",72.6866454530105,13.9780631798194,7.93507911463102,0.647594948685712,0.259908845337676,"Veri"
"AL02",58.8652040222981,28.7204469597214,21.9180657102501,0.727720953564866,0.271384908357073,"Qender"
"AL03",63.8253476789141,22.1797022995339,15.8716211489938,0.688980273971311,0.168062173418915,"Jug"
"ANDORRE01",41.2315493488886,71.9773933618472,2.65885616671111,0.832300004945969,0.0566698054016561,"Andorra"
"AT11",23.2207472290228,183.96488200603,89.9892429832659,0.909620553094706,0.0459743348770025,"Burgenland"
"AT12",27.5317233919069,146.956384929791,81.5596194601747,0.9339325607544,0.0327548933818424,"Niederösterreich"
"AT13",10.9512868462762,348.627565432276,89.9101216788987,0.978155724231978,0.0104247266772745,"Wien"
"AT21",27.7992341144681,144.922350812127,67.1642159710139,0.885700749643563,0.0721420266721602,"Kärnten"
"AT22",32.4782654445407,113.569247488045,49.3089189153042,0.882284324294401,0.0594390380907794,"Steiermark"
"AT31",18.9075056905206,230.320530520515,86.6382286674455,0.885041234450119,0.0550522736629039,"Oberösterreich"
"AT32",47.5556003116432,51.7724678420305,20.7465889845606,0.965721271435489,0.0238095242713624,"Salzburg"
"AT33",40.2533024967354,75.7410570859656,34.401069533449,0.89660036169989,0.0639383382828862,"Tirol"
"AT34",35.5535513654291,96.7553126722223,42.3905547264513,0.938789024001613,0.0304254999642065,"Vorarlberg"
"BE10",6.79552116389243,432.908556242656,90.7777373384135,0.999312640973838,0.000153375781914125,"Bruxelles-Capitale"
"BE21",20.5661453054777,211.25249205425,54.8568430809581,0.996697476944687,0.00279912459070136,"Antwerpen"
"BE22",15.475294787586,275.419628097273,61.600054088246,0.997114222797281,0.00143263564238685,"Limburg (BE)"
"BE23",22.0257748924985,195.78261371293,40.3762674873654,0.997112727291875,0.00288912341618387,"Oost-Vlaanderen"
"BE24",15.0901342914248,281.002441644238,88.9912743091187,0.998747097874173,0.000913448566286447,"Vlaams-Brabant"
"BE25",27.2959647806999,148.772643486096,42.5497373907471,0.990699486310176,0.00813637760418209,"West-Vlaanderen"
"BE31",15.8063201820939,270.71020122506,124.520289622492,0.998297454816482,0.00147608061893258,"Brabant Wallon"
"BE32",23.781247643268,178.670240587245,41.9435549520112,0.987055524766261,0.0203929637737176,"Hainaut"
"BE33",18.1278135054866,239.86954458472,52.7258929131261,0.992170335020396,0.0121300632109131,"Liège"
"BE34",20.2065938389339,215.247234033622,29.7717284419283,0.984240022423335,0.0119913615806808,"Luxembourg (BE)"
"BE35",21.9925977389659,196.121333263664,31.8144836689291,0.993442974493965,0.00971176612883058,"Namur"
"BG31",65.8968678020505,19.9105135385705,15.8758855557669,0.616048773871557,0.203219769408998,"Severozapaden"
"BG32",87.8876972953643,6.3311953849751,6.37072763374989,0.724342507139437,0.241392763633942,"Severen tsentralen"
"BG33",81.7658038530249,8.70980940808929,10.4496364009031,0.587822730030707,0.290076236816469,"Severoiztochen"
"BG34",70.2146363575055,15.8994573011277,11.2316777631061,0.577856190470393,0.263159869041315,"Yugoiztochen"
"BG41",48.8344405026958,48.4352955537708,29.7850719532643,0.685918592157807,0.177620735657518,"Yugozapaden"
"BG42",62.5309374351206,23.7271150639191,14.1509909593154,0.647556027752273,0.184081889969477,"Yuzhen tsentralen"
"BIH.1_1",100,3.36833283966355,2.11569441554561,0.908765780097313,0.114841809951018,"Brcko"
"BIH.2_1",74.1300331567595,12.9654260667153,13.8915872219184,0.730969272189589,0.242218849684407,"Federacija Bosne i Hercegovine"
"BIH.3_1",74.792683071524,12.525431743502,12.3594905024115,0.729611845192881,0.204236148516923,"Republika Srpska"
"CH01",26.2788208148003,156.869484844362,46.5642206151913,0.964338389303299,0.0395165442037441,"Région lémanique"
"CH02",23.2857934752602,183.342477016457,47.6510127827402,0.970686351964682,0.0266542462154847,"Espace Mittelland"
"CH03",23.3221071644573,182.995920318777,30.1861111098746,0.991083960636318,0.00847795051873349,"Nordwestschweiz"
"CH04",18.8357220112628,231.183553519363,26.5366391128661,0.988480815191766,0.00976764283127515,"Zürich"
"CH05",23.7811798121753,178.670872029166,51.8371705418824,0.962152946498513,0.0296350180087844,"Ostschweiz"
"CH06",23.5858269217813,180.498708135404,30.3563412430296,0.962964984415669,0.0210354802595182,"Zentralschweiz"
"CH07",21.9389867864286,196.669909070228,38.0265555779013,0.959681983321382,0.0421183335584252,"Ticino"
"CYP",56.3093782288981,32.8112711160595,18.0880624831693,0.583360645532284,0.278845020908897,"Cyprus"
"CZ01",11.5319586506929,338.238151078674,65.04304310955,0.950077312138955,0.050905618235757,"Praha"
"CZ02",25.2263070782334,165.712087820814,70.0912538705157,0.868766975009349,0.0678562017717365,"Strední Cechy"
"CZ03",28.9817310474097,136.263161546065,56.9393752817536,0.817380488583691,0.115392768902524,"Jihozápad"
"CZ04",26.5558118673139,154.621849848997,88.6624918715409,0.767038910557082,0.109142578868411,"Severozápad"
"CZ05",29.7268437831217,131.074571937767,48.6645986978866,0.832114461033751,0.0806116187713027,"Severovýchod"
"CZ06",28.2159667998961,141.809643601031,79.1926826729938,0.863875706603393,0.0522068270589474,"Jihovýchod"
"CZ07",34.8708802561554,100.258669745762,27.1966808105586,0.82655258076385,0.0788571526565141,"Strední Morava"
"CZ08",31.8731558335119,117.206809806769,32.52425609889,0.827045364669874,0.0635441640062669,"Moravskoslezsko"
"DE11",41.2137366059429,72.044224686323,44.3553093854647,0.926004079421505,0.0413141598596461,"Stuttgart"
